Source,Target,Type,Id,Label,timeset,Weight
aNsuFZiQaUkJ,11923733662165296462,Directed,54,,,1
6725146109081728,1643463295570116832,Directed,55,,,1
303841105657381417,1643463295570116832,Directed,56,,,1
9844609276134837274,1643463295570116832,Directed,57,,,1
5797695707624213053,1643463295570116832,Directed,58,,,1
8200633689746957050,1643463295570116832,Directed,59,,,1
7053105036356175805,1643463295570116832,Directed,60,,,1
5256867911590347964,1643463295570116832,Directed,61,,,1
1485835081831342760,1643463295570116832,Directed,62,,,1
yv1MhAzmUkQJ,1643463295570116832,Directed,63,,,1
Fi1WmmdjmfAJ,1643463295570116832,Directed,64,,,1
11952023677055702570,1643463295570116832,Directed,65,,,1
a4pnsoq4rwMJ,1643463295570116832,Directed,66,,,1
2g7HtyAVuWEJ,1643463295570116832,Directed,67,,,1
10037675033588739066,1643463295570116832,Directed,68,,,1
11805831297777819937,1643463295570116832,Directed,69,,,1
1629218297859438939,1643463295570116832,Directed,70,,,1
rVTr-OfatNcJ,1643463295570116832,Directed,71,,,1
10615361509955807006,1643463295570116832,Directed,72,,,1
179990923850747548,1643463295570116832,Directed,73,,,1
16192213325054712482,8838042677898220156,Directed,74,,,1
2252593619618930291,16192213325054712482,Directed,75,,,1
913369402206274813,16192213325054712482,Directed,76,,,1
8758309881515694170,16192213325054712482,Directed,77,,,1
3839195307665937782,16192213325054712482,Directed,78,,,1
7533488035679217308,16192213325054712482,Directed,79,,,1
17021629741989802394,16192213325054712482,Directed,80,,,1
18306409094821844443,16192213325054712482,Directed,81,,,1
9667085691324847560,16192213325054712482,Directed,82,,,1
2234410654587167221,16192213325054712482,Directed,83,,,1
1638058689636220854,16192213325054712482,Directed,84,,,1
15030416805592477892,16192213325054712482,Directed,85,,,1
15030416805592477892,7016724439678309686,Directed,86,,,1
16526892855515396825,16192213325054712482,Directed,87,,,1
9620883523435687475,16192213325054712482,Directed,88,,,1
18078581777325668999,16192213325054712482,Directed,89,,,1
3117600017246051464,16192213325054712482,Directed,90,,,1
17228788796483143413,16192213325054712482,Directed,91,,,1
cjthBUejgq0J,16192213325054712482,Directed,92,,,1
3082908678934539462,16192213325054712482,Directed,93,,,1
3082908678934539462,8838042677898220156,Directed,94,,,1
3082908678934539462,11030158923293020054,Directed,95,,,1
3082908678934539462,12413642144769471143,Directed,96,,,1
3082908678934539462,1955402669272892995,Directed,97,,,1
IO2vDcAScuIJ,16192213325054712482,Directed,98,,,1
17565157820349285941,16192213325054712482,Directed,99,,,1
17565157820349285941,17617874200374269761,Directed,100,,,1
